,Annual Revenue,ADR,Occupancy %,Guests,Status,Status Detail,Price,Price Change,Date Changed,Street Address,City,State,Zipcode,Beds,Baths,Sqft,Home Type,Units,Building Name,Zestimate,Rent Zestimate,Tax Assessed Value,HDP Price,Lot Area,Lot Area Unit,Broker Name,Days on Zillow,URL,Latitude,Longitude
246,33779,114,0.81,4,For Rent,Apartment For Rent,2696,,,120-45 200th St #2,Saint Albans,NY,11412,1,1,800,Apartment,,,,1963,,2696,,,,3.33,https://www.zillow.com/homedetails/120-45-200th-St-2-Saint-Albans-NY-11412/2061014171_zpid/,40.689285,-73.74947
247,22676,142,0.44,4,For Rent,House For Rent,2000,,,71-04 72nd Pl #2,Ridgewood,NY,11385,1,1,,Single Family,,,,,,2000,,,ONE STOP MULTISERVICE INC,3.33,https://www.zillow.com/homedetails/71-04-72nd-Pl-2-Ridgewood-NY-11385/352058548_zpid/,40.704926,-73.87871
248,52428,215,0.67,4,For Rent,Apartment For Rent,1900,,,3401 Parsons Blvd #B17,Flushing,NY,11354,1,1,640,Apartment,,,,,,1900,,,Metro Park Realty Inc.,3.38,https://www.zillow.com/homedetails/3401-Parsons-Blvd-B17-Flushing-NY-11354/351927157_zpid/,40.766636,-73.8239
249,48095,197,0.67,6,For Rent,Apartment For Rent,2250,-45,6/11/2024,3634 168th St FLOOR 1,Flushing,NY,11358,2,1,800,Apartment,,,,2400,,2250,,,Metro Park Realty Inc.,3.38,https://www.zillow.com/homedetails/3634-168th-St-FLOOR-1-Flushing-NY-11358/349884964_zpid/,40.761814,-73.798416
250,46430,201,0.63,4,For Rent,Apartment For Rent,1900,,,29 Shepherd Ave #1,Brooklyn,NY,11208,1,1,,Apartment,,,,2100,,1900,,,,3.38,https://www.zillow.com/homedetails/29-Shepherd-Ave-1-Brooklyn-NY-11208/2091024705_zpid/,40.684223,-73.88255
251,29582,222,0.37,8,For Rent,Apartment For Rent,3464,,,11915 195th St FLOOR 2,Saint Albans,NY,11412,3,1,,Apartment,,,,3499,,3464,,,Affordable Housing,3.38,https://www.zillow.com/homedetails/11915-195th-St-FLOOR-2-Saint-Albans-NY-11412/350244057_zpid/,40.69003,-73.75502
252,93763,442,0.58,10,For Rent,House For Rent,4800,,,180-14 69th Ave,Fresh Meadows,NY,11365,4,3,,Single Family,,,802900,4829,,4800,,,,3.42,https://www.zillow.com/homedetails/180-14-69th-Ave-Fresh-Meadows-NY-11365/2057631332_zpid/,40.73325,-73.79044
253,32296,151,0.59,6,For Rent,Apartment For Rent,2450,,,6127 224th St,Bayside,NY,11364,2,1,900,Apartment,,,,2657,,2450,,,,3.42,https://www.zillow.com/homedetails/6127-224th-St-Bayside-NY-11364/2118347915_zpid/,40.749294,-73.75224
254,71294,291,0.67,8,For Rent,Apartment For Rent,2700,,,3049 Linden Pl FLOOR 2,Flushing,NY,11354,3,2,1155,Apartment,,,,3288,,2700,,,E realty int'l group,3.42,https://www.zillow.com/homedetails/3049-Linden-Pl-FLOOR-2-Flushing-NY-11354/2057847269_zpid/,40.769684,-73.83242
255,30852,120,0.7,4,For Rent,Apartment For Rent,2100,,,24-42 98th St,East Elmhurst,NY,11369,1,1,,Apartment,,,,3140,,2100,,,Caleb Realty LLC,3.42,https://www.zillow.com/homedetails/24-42-98th-St-East-Elmhurst-NY-11369/2070452230_zpid/,40.765114,-73.87208
256,,,,,For Rent,For Rent,,,,11146 76th Dr   Apt 5B,Forest Hills,NY,11375,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/11146-76th-dr-forest-hills-ny-637srN/,,
257,32808,121,0.74,4,For Rent,Apartment For Rent,1995,,,9132 195th St APT 5K,Hollis,NY,11423,1,1,750,Apartment,,,,1900,,1995,,,Contact Realty,3.46,https://www.zillow.com/homedetails/9132-195th-St-APT-5K-Hollis-NY-11423/2083667105_zpid/,40.712425,-73.76594
258,36892,140,0.72,2,For Rent,Apartment For Rent,1700,,,78-25 Metropolitan Ave #2,Middle Village,NY,11379,0,1,,Apartment,,,,1819,,1700,,,Donna Demkowicz real estate,3.46,https://www.zillow.com/homedetails/78-25-Metropolitan-Ave-2-Middle-Village-NY-11379/2054292610_zpid/,40.71329,-73.87446
259,23782,152,0.43,4,For Rent,Apartment For Rent,1700,,,75-18 Metropolitan Ave #2R,Middle Village,NY,11379,1,1,,Apartment,,,,,,1700,,,Donna Demkowicz real estate,3.5,https://www.zillow.com/homedetails/75-18-Metropolitan-Ave-2R-Middle-Village-NY-11379/352048568_zpid/,40.71286,-73.877014
260,45729,262,0.48,8,For Rent,Apartment For Rent,3000,,,(undisclosed Address),Jamaica,NY,11434,3,2,,Apartment,,,,3134,,3000,,,,3.5,https://www.zillow.com/homedetails/Jamaica-NY-11434/2054982520_zpid/,,
261,69826,282,0.68,8,For Rent,Apartment For Rent,2975,,,69-09 Luther Rd #2,Ridgewood,NY,11385,3,1,1200,Apartment,,,,3140,,2975,,,Donna Demkowicz real estate,3.5,https://www.zillow.com/homedetails/69-09-Luther-Rd-2-Ridgewood-NY-11385/2059133873_zpid/,40.70033,-73.88183
262,,,,,For Rent,For Rent,,,,144-74 Northern Blvd # 7F,Flushing,NY,11354,,,,Unknown,,,,,,,,,,0,"https://www.zillow.com/b/building/40.764725,-73.82068_ll/",,
263,23773,152,0.43,4,For Rent,Apartment For Rent,2300,,,7516 Metropolitan Ave #2,Middle Village,NY,11379,1,1,1000,Apartment,,,,2328,,2300,,,Donna Demkowicz real estate,3.5,https://www.zillow.com/homedetails/7516-Metropolitan-Ave-2-Middle-Village-NY-11379/2101919032_zpid/,40.712852,-73.87709
264,24406,189,0.35,4,For Rent,Apartment For Rent,2495,,,6405 Yellowstone Blvd #117S,Flushing,NY,11375,1,1,550,Apartment,,,450900,2800,127745,2495,,,HZM Real Estate Investors LLC,3.54,https://www.zillow.com/homedetails/6405-Yellowstone-Blvd-117S-Flushing-NY-11375/89027448_zpid/,40.73199,-73.8515
265,56378,364,0.42,8,For Rent,House For Rent,6000,,,8032 190th St,Jamaica,NY,11423,3,3,,Single Family,,,1399300,4848,1135000,6000,,,Winzone Realty Inc,3.58,https://www.zillow.com/homedetails/8032-190th-St-Jamaica-NY-11423/32081023_zpid/,40.728676,-73.77918
266,21151,121,0.48,6,For Rent,Apartment For Rent,2500,,,45 Bell Boulevard # FL 3RD,Bayside,NY,11361,2,1,,Apartment,,,,2600,,2500,,,,3.71,https://www.zillow.com/homedetails/45-Bell-Boulevard-FL-3RD-Bayside-NY-11361/2087658293_zpid/,40.77321,-73.775
267,65454,269,0.67,6,For Rent,Apartment For Rent,2600,,,8823 Sabre St FLOOR 1,Queens Village,NY,11427,2,1,1000,Apartment,,,,,,2600,,,Voro Realty,3.83,https://www.zillow.com/homedetails/8823-Sabre-St-FLOOR-1-Queens-Village-NY-11427/352035424_zpid/,40.72987,-73.735535
268,32532,157,0.57,6,For Rent,Apartment For Rent,2700,,,13620 Booth Memorial Ave APT 3I,Flushing,NY,11355,2,2,794,Apartment,,,,2700,,2700,,,,3.88,https://www.zillow.com/homedetails/13620-Booth-Memorial-Ave-APT-3I-Flushing-NY-11355/2060506925_zpid/,40.746834,-73.82841
269,58231,263,0.61,10,For Rent,Apartment For Rent,3500,,,(undisclosed Address),South Ozone Park,NY,11420,4,1,,Apartment,,,,,,3500,,,Real Broker LLC,3.88,https://www.zillow.com/homedetails/South-Ozone-Park-NY-11420/352033468_zpid/,,
270,66366,311,0.58,10,For Rent,Apartment For Rent,2200,,,(undisclosed Address),Brooklyn,NY,11208,4,1.5,,Apartment,,,,,,2200,,,,3.92,https://www.zillow.com/homedetails/Brooklyn-NY-11208/352033308_zpid/,,
271,,,,,For Rent,For Rent,,,,45 Avenue 204 St   ,Bayside,NY,11361,,,,Unknown,,,,,,,,,,0,"https://www.zillow.com/b/building/40.7642,-73.77234_ll/",,
272,31655,133,0.65,4,For Rent,Apartment For Rent,2300,,,10320 111th St FLOOR 1,South Richmond Hill,NY,11419,1,1,700,Apartment,,,,,,2300,,,,3.92,https://www.zillow.com/homedetails/10320-111th-St-FLOOR-1-South-Richmond-Hill-NY-11419/352033049_zpid/,40.685352,-73.83174
273,34499,152,0.62,6,For Rent,Apartment For Rent,2699,,,8320 141st St APT 4A,Jamaica,NY,11435,2,2,,Apartment,,,,3170,22281000,2699,,,Made In NY Realty,3.92,https://www.zillow.com/homedetails/8320-141st-St-APT-4A-Jamaica-NY-11435/245442465_zpid/,40.71234,-73.81893
274,67012,244,0.75,6,For Rent,Apartment For Rent,2300,,,(undisclosed Address),Middle Village,NY,11379,2,1.5,1100,Apartment,,,,,,2300,,,I.J.G Realty,3.92,https://www.zillow.com/homedetails/Middle-Village-NY-11379/352032883_zpid/,,
275,,,,,For Rent,For Rent,,,,13277 Metropolitan Ave # 2C,Richmond Hill,NY,11418,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/13277-metropolitan-ave-richmond-hill-ny-97hCjf/,,
276,20974,125,0.46,6,For Rent,Apartment For Rent,2250,-100,6/14/2024,(undisclosed Address),Oakland Gardens,NY,11364,2,1,,Apartment,,,,3200,,2250,,,,3.92,https://www.zillow.com/homedetails/Oakland-Gardens-NY-11364/2067780994_zpid/,,
277,35258,151,0.64,4,For Rent,Apartment For Rent,1949,,,142-35 84th Dr #1F,Jamaica,NY,11435,1,1,775,Apartment,,,,,,1949,,,,3.96,https://www.zillow.com/homedetails/142-35-84th-Dr-1F-Jamaica-NY-11435/352032607_zpid/,40.711617,-73.81352
278,38862,175,0.61,6,For Rent,Apartment For Rent,2299,,,142-35 84th Dr APT 3G,Jamaica,NY,11435,2,1,875,Apartment,,,,1975,,2299,,,,3.96,https://www.zillow.com/homedetails/142-35-84th-Dr-APT-3G-Jamaica-NY-11435/2056650235_zpid/,40.711166,-73.813736
279,36463,139,0.72,4,For Rent,Apartment For Rent,2700,,,4430 Douglaston Pkwy #6LA,Little Neck,NY,11363,1,1,860,Apartment,,,,,,2700,,,Tri State Hanmi Realty,4,https://www.zillow.com/homedetails/4430-Douglaston-Pkwy-6LA-Little-Neck-NY-11363/352025513_zpid/,40.765743,-73.74475
280,65786,262,0.69,8,For Rent,Apartment For Rent,2100,,,8720 96th St #3F,Woodhaven,NY,11421,3,1,800,Apartment,,,,2850,,2100,,,,4,https://www.zillow.com/homedetails/8720-96th-St-3F-Woodhaven-NY-11421/351544657_zpid/,40.693523,-73.84912
281,27622,163,0.46,4,For Rent,Apartment For Rent,1950,,,1288916-61 143rd St #10L,Jamaica,NY,11436,1,1,800,Apartment,,,,1875,,1950,,,All American Realty Management,4,https://www.zillow.com/homedetails/1288916-61-143rd-St-10L-Jamaica-NY-11436/2079892717_zpid/,40.68172,-73.79949
282,37844,153,0.68,4,For Rent,Apartment For Rent,2050,,,102-43 Corona Ave #R4A,Corona,NY,11368,1,1,,Apartment,,,,2250,,2050,,,A&E Real Estate Management,4.04,https://www.zillow.com/homedetails/102-43-Corona-Ave-R4A-Corona-NY-11368/2100545931_zpid/,40.74439,-73.8602
283,40661,164,0.68,4,For Rent,Apartment For Rent,2250,,,8220 Britton Ave APT 3A,Flushing,NY,11373,1,1,750,Apartment,,,,2199,89325,2250,,,Voro New York,4.04,https://www.zillow.com/homedetails/8220-Britton-Ave-APT-3A-Flushing-NY-11373/122028148_zpid/,40.74279,-73.88262
284,46400,173,0.73,6,For Rent,Apartment For Rent,2900,,,8220 Britton Ave APT 5B,Flushing,NY,11373,2,1,900,Apartment,,,,1849,129025,2900,,,Voro New York,4.04,https://www.zillow.com/homedetails/8220-Britton-Ave-APT-5B-Flushing-NY-11373/122034308_zpid/,40.743225,-73.8821
285,43274,158,0.75,6,For Rent,Apartment For Rent,2500,,,87-64 115th St FLOOR 2,Richmond Hill,NY,11418,2,1,,Apartment,,,,2400,,2500,,,Kahana Real Estate LLC,4.04,https://www.zillow.com/homedetails/87-64-115th-St-FLOOR-2-Richmond-Hill-NY-11418/2080833366_zpid/,40.696915,-73.83349
286,56165,237,0.65,6,For Rent,Apartment For Rent,3090,,,35-27 72nd St #3B,Jackson Heights,NY,11372,2,1,,Apartment,,,577600,2850,,3090,,,,4.04,https://www.zillow.com/homedetails/35-27-72nd-St-3B-Jackson-Heights-NY-11372/2078113313_zpid/,40.750015,-73.893684
287,48441,213,0.62,6,For Rent,Apartment For Rent,3200,,,90-20 55th Ave #4A,Elmhurst,NY,11373,2,2,847,Apartment,,,667100,3200,,3200,,,EXP Realty NYC,4.04,https://www.zillow.com/homedetails/90-20-55th-Ave-4A-Elmhurst-NY-11373/2061576931_zpid/,40.736782,-73.872185
288,50983,187,0.75,4,For Rent,Apartment For Rent,2299,,,144-44 41st Ave #102,Flushing,NY,11355,1,1,825,Apartment,,,,2221,,2299,,,,4.04,https://www.zillow.com/homedetails/144-44-41st-Ave-102-Flushing-NY-11355/348602179_zpid/,40.760868,-73.81973
289,,,,,For Rent,For Rent,,,,19304 Horace Harding Expy # 5F,Fresh Meadows,NY,11365,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/19304-horace-harding-expy-fresh-meadows-ny-5YCYzF/,,
290,63459,225,0.77,6,For Rent,Apartment For Rent,2600,,,14241 41st Ave #4A,Flushing,NY,11355,2,1,875,Apartment,,,,2599,,2600,,,,4.04,https://www.zillow.com/homedetails/14241-41st-Ave-4A-Flushing-NY-11355/349649144_zpid/,40.759987,-73.824615
291,59928,238,0.69,6,For Rent,Apartment For Rent,2600,,,7767 75th St FLOOR 2,Ridgewood,NY,11385,2,1,900,Apartment,,,,,,2600,,,,4.08,https://www.zillow.com/homedetails/7767-75th-St-FLOOR-2-Ridgewood-NY-11385/352022063_zpid/,40.70491,-73.87419
292,31577,127,0.68,2,For Rent,Apartment For Rent,1750,,,21513 39th Ave #2,Bayside,NY,11361,0,1,550,Apartment,,,,2045,,1750,,,,4.08,https://www.zillow.com/homedetails/21513-39th-Ave-2-Bayside-NY-11361/2057834383_zpid/,40.765915,-73.76847
293,25068,100,0.69,2,For Rent,Apartment For Rent,550,,,19505 111th Ave,Jamaica,NY,11412,0,0,,Apartment,,,799200,2299,822000,550,,,Douglas Elliman,4.08,https://www.zillow.com/homedetails/19505-111th-Ave-Jamaica-NY-11412/32155949_zpid/,40.70312,-73.76079
294,63230,231,0.75,8,For Rent,House For Rent,3800,,,6807 79th St,Flushing,NY,11379,3,1.5,1986,Single Family,,,880400,3910,1030000,3800,,,Douglas Elliman Real Estate,4.12,https://www.zillow.com/homedetails/6807-79th-St-Flushing-NY-11379/32016788_zpid/,40.71091,-73.87329
295,65749,251,0.72,10,For Rent,Apartment For Rent,2900,,,(undisclosed Address),Richmond Hill,NY,11418,4,1,,Apartment,,,,4070,,2900,,,Winzone realty,4.12,https://www.zillow.com/homedetails/Richmond-Hill-NY-11418/349372788_zpid/,,
296,42643,193,0.61,6,For Rent,Apartment For Rent,3027,,,10911 Pinegrove St #1-A,Jamaica,NY,11435,2,1,1000,Apartment,,,,2629,,3027,,,Affordable Housing,4.12,https://www.zillow.com/homedetails/10911-Pinegrove-St-1-A-Jamaica-NY-11435/349936034_zpid/,40.68868,-73.80226
297,74289,282,0.72,8,For Rent,Apartment For Rent,3200,,,7258 61st St FLOOR 1,Ridgewood,NY,11385,3,1,11000,Apartment,,,,,,3200,,,,4.17,https://www.zillow.com/homedetails/7258-61st-St-FLOOR-1-Ridgewood-NY-11385/352015283_zpid/,40.699135,-73.89429
298,54761,233,0.64,6,For Rent,Apartment For Rent,3200,,,33-20 74th St #1,Jackson Heights,NY,11372,2,1,1400,Apartment,,,773400,2919,,3200,,,Mega Homes Realty INC,4.21,https://www.zillow.com/homedetails/33-20-74th-St-1-Jackson-Heights-NY-11372/2078182808_zpid/,40.7541,-73.89297
299,60110,269,0.61,8,For Rent,Apartment For Rent,2900,,,97-37 91st St #2,Ozone Park,NY,11416,3,1,1100,Apartment,,,,,,2900,,,,4.21,https://www.zillow.com/homedetails/97-37-91st-St-2-Ozone-Park-NY-11416/352008001_zpid/,40.683964,-73.84958
300,48503,211,0.63,4,For Rent,Apartment For Rent,2300,-200,6/14/2024,(undisclosed Address),Flushing,NY,11354,1,1,725,Apartment,,,,,,2300,,,,4.21,https://www.zillow.com/homedetails/Flushing-NY-11354/352007169_zpid/,,
301,54732,229,0.65,8,For Rent,Apartment For Rent,3500,,,25314 W End Dr,Flushing,NY,11362,3,1.5,,Apartment,,,,3499,1751000,3500,,,United Real Estate Fortune,4.21,https://www.zillow.com/homedetails/25314-W-End-Dr-Flushing-NY-11362/32096021_zpid/,40.770565,-73.73309
302,,,,,For Rent,For Rent,,,,175-20 Wexford Ter Apt 10B,Jamaica,NY,11432,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/175-20-wexford-ter-jamaica-ny-9ghXg4/,,
303,40089,146,0.75,4,For Rent,Apartment For Rent,1950,,,4241 155th St APT 4C,Flushing,NY,11355,1,1,850,Apartment,,,,,,1950,,,The Realty Depot LLC,4.29,https://www.zillow.com/homedetails/4241-155th-St-APT-4C-Flushing-NY-11355/351997230_zpid/,40.76005,-73.81035
304,37393,154,0.67,4,For Rent,Apartment For Rent,1950,,,14168 85th Rd APT 5C,Jamaica,NY,11435,1,1,,Apartment,,,,,,1950,,,,4.29,https://www.zillow.com/homedetails/14168-85th-Rd-APT-5C-Jamaica-NY-11435/351995892_zpid/,40.709496,-73.81444
305,37338,152,0.67,4,For Rent,Apartment For Rent,1950,,,139-44 85th Dr #3J,Jamaica,NY,11435,1,1,,Apartment,,,,,,1950,,,,4.29,https://www.zillow.com/homedetails/139-44-85th-Dr-3J-Jamaica-NY-11435/351995579_zpid/,40.708725,-73.815254
306,45729,262,0.48,8,For Rent,House For Rent,3100,,,(undisclosed Address),Jamaica,NY,11434,3,2,1000,Single Family,,,612700,3694,,3100,,,,4.29,https://www.zillow.com/homedetails/Jamaica-NY-11434/32185979_zpid/,,
307,52575,273,0.53,8,For Rent,House For Rent,3500,,,(undisclosed Address),Saint Albans,NY,11412,3,1,,Single Family,,,623700,3254,,3500,,,,4.29,https://www.zillow.com/homedetails/Saint-Albans-NY-11412/344564256_zpid/,,
308,34994,238,0.4,6,For Rent,House For Rent,3300,,,(undisclosed Address),Jamaica,NY,11432,2,1,2000,Single Family,,,1424400,2570,,3300,,,,4.29,https://www.zillow.com/homedetails/Jamaica-NY-11432/32135676_zpid/,,
309,53852,204,0.72,6,For Rent,Apartment For Rent,2650,,,14430 35th Ave APT A63,Flushing,NY,11354,2,1,1000,Apartment,,,,2429,,2650,,,K Land Realty Inc,4.29,https://www.zillow.com/homedetails/14430-35th-Ave-APT-A63-Flushing-NY-11354/2113630001_zpid/,40.76562,-73.82265
310,32549,116,0.77,2,For Rent,Apartment For Rent,1530,,,195-30 Jamaica Ave APT B19,Hollis,NY,11423,0,1,,Apartment,,,,,,1530,,,LivingNY,4.29,https://www.zillow.com/homedetails/195-30-Jamaica-Ave-APT-B19-Hollis-NY-11423/351994640_zpid/,40.71314,-73.76493
311,39987,163,0.67,4,For Rent,Apartment For Rent,2109,,,8915 144th St APT 1H,Jamaica,NY,11435,1,1,,Apartment,,,345700,1983,,2109,,,LivingNY,4.29,https://www.zillow.com/homedetails/8915-144th-St-APT-1H-Jamaica-NY-11435/2107134288_zpid/,40.70263,-73.81147
312,25032,135,0.51,8,For Rent,Apartment For Rent,3777,,,81-46 102nd Ave FLOOR 1,Ozone Park,NY,11416,3,1,860,Apartment,,,,2629,,3777,,,Affordable Housing,4.33,https://www.zillow.com/homedetails/81-46-102nd-Ave-FLOOR-1-Ozone-Park-NY-11416/346204116_zpid/,40.680546,-73.855934
313,42372,208,0.56,4,For Rent,Apartment For Rent,2600,,,371 Etna St APT 1D,Brooklyn,NY,11208,1,1,,Apartment,,,,2575,,2600,,,Affordable Housing,4.33,https://www.zillow.com/homedetails/371-Etna-St-APT-1D-Brooklyn-NY-11208/351152324_zpid/,40.68797,-73.869995
314,,,,,For Rent,For Rent,,,,21610 111th Ave Floor 1,Queens Village,NY,11429,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/21610-111th-ave-queens-village-ny-5dwPqj/,,
315,,,,,For Rent,For Rent,,,,9023 175th St   # 1,Jamaica,NY,11432,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/9023-175th-st-jamaica-ny-7Mk6/,,
316,60083,265,0.62,10,For Rent,Apartment For Rent,3705,,,11915 195th St #1,Saint Albans,NY,11412,4,1,,Apartment,,,,3499,,3705,,,Affordable Housing,4.33,https://www.zillow.com/homedetails/11915-195th-St-1-Saint-Albans-NY-11412/350337590_zpid/,40.689766,-73.75518
317,35505,236,0.41,8,For Rent,Apartment For Rent,2700,,,155-09 113th Ave #2,Jamaica,NY,11433,3,1,2400,Apartment,,,,3099,,2700,,,,4.33,https://www.zillow.com/homedetails/155-09-113th-Ave-2-Jamaica-NY-11433/2068767931_zpid/,40.687958,-73.792305
318,50949,209,0.67,6,For Rent,Apartment For Rent,2500,,,8832 75th Ave #2,Ridgewood,NY,11385,2,1,780,Apartment,,,,,,2500,,,,4.33,https://www.zillow.com/homedetails/8832-75th-Ave-2-Ridgewood-NY-11385/351991803_zpid/,40.70813,-73.86135
319,44525,189,0.65,6,For Rent,Apartment For Rent,2950,,,99-24 67th Ave #3,Rego Park,NY,11374,2,2,1200,Apartment,,,,3395,,2950,,,,4.38,https://www.zillow.com/homedetails/99-24-67th-Ave-3-Rego-Park-NY-11374/2066746586_zpid/,40.726234,-73.853966
320,36355,143,0.7,4,For Rent,Apartment For Rent,2050,,,6002 111th St #3,South Richmond Hill,NY,11419,1,1,,Apartment,,,,1969,,2050,,,,4.38,https://www.zillow.com/homedetails/6002-111th-St-3-South-Richmond-Hill-NY-11419/347981260_zpid/,40.683598,-73.830574
321,35506,146,0.67,4,For Rent,Apartment For Rent,2025,,,39-02 111th St #C,Corona,NY,11368,1,1,,Apartment,,,,2093,,2025,,,,4.38,https://www.zillow.com/homedetails/39-02-111th-St-C-Corona-NY-11368/348184340_zpid/,40.75213,-73.85625
322,63717,226,0.77,8,For Rent,Townhouse For Rent,3606,,,11097 85th Ave,Richmond Hill,NY,11418,3,1,880,Townhouse,,,,3136,1496000,3606,,,Affordable Housing,4.38,https://www.zillow.com/homedetails/11097-85th-Ave-Richmond-Hill-NY-11418/32116403_zpid/,40.701157,-73.83927
323,27282,225,0.33,6,For Rent,Townhouse For Rent,3027,,,19311 Linden Blvd,Jamaica,NY,11412,2,1,800,Townhouse,,,903100,2466,846000,3027,,,Affordable Housing,4.38,https://www.zillow.com/homedetails/19311-Linden-Blvd-Jamaica-NY-11412/83050634_zpid/,40.693043,-73.7582
324,31081,189,0.45,6,For Rent,Apartment For Rent,2400,,,147-12 Ferndale Ave #1,Jamaica,NY,11435,2,1,,Apartment,,,,,,2400,,,Voro New York,4.38,https://www.zillow.com/homedetails/147-12-Ferndale-Ave-1-Jamaica-NY-11435/351987600_zpid/,40.690178,-73.799034
325,,,,,For Rent,For Rent,,,,6316 102nd St Apt 2D,Rego Park,NY,11374,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/6316-102nd-st-rego-park-ny-97gD9r/,,
326,85202,317,0.74,10,For Rent,House For Rent,3770,,,(undisclosed Address),Flushing,NY,11368,4,3,2003,Single Family,,,1067200,2798,,3770,,,Global Connect Realty,4.42,https://www.zillow.com/homedetails/Flushing-NY-11368/31967834_zpid/,,
327,46440,209,0.61,6,For Rent,Apartment For Rent,2700,,,3225 Fulton St APT 3R,Brooklyn,NY,11208,2,1,900,Apartment,,,,2820,,2700,,,Homes Smart- Premier Living Realty,4.42,https://www.zillow.com/homedetails/3225-Fulton-St-APT-3R-Brooklyn-NY-11208/2081784456_zpid/,40.682793,-73.87609
328,49403,175,0.77,4,For Rent,Apartment For Rent,2850,,,105-05 69th Ave #201A,Forest Hills,NY,11375,1,1,,Apartment,,,,,,2850,,,Compass,4.42,https://www.zillow.com/homedetails/105-05-69th-Ave-201A-Forest-Hills-NY-11375/351985654_zpid/,40.724236,-73.84839
329,39474,164,0.66,4,For Rent,Apartment For Rent,2450,,,13643 37th Ave APT 2H,Flushing,NY,11354,1,1,800,Apartment,,,,2400,,2450,,,Metro Real Estate,4.42,https://www.zillow.com/homedetails/13643-37th-Ave-APT-2H-Flushing-NY-11354/2090095205_zpid/,40.761883,-73.82963
330,55560,204,0.75,6,For Rent,Apartment For Rent,3950,-250,6/12/2024,4022 College Point Blvd PENTHOUSE 3N,Flushing,NY,11354,2,2,1250,Apartment,,,983900,3249,173127,3950,,,SANY Realty Group LLC,4.42,https://www.zillow.com/homedetails/4022-College-Point-Blvd-PENTHOUSE-3N-Flushing-NY-11354/93393321_zpid/,40.757805,-73.834404
331,61070,219,0.76,6,For Rent,Apartment For Rent,3200,,,103-10 Queens Blvd #3,Forest Hills,NY,11375,2,2,1300,Apartment,,,,2400,,3200,,,Voro Purple LLC,4.46,https://www.zillow.com/homedetails/103-10-Queens-Blvd-3-Forest-Hills-NY-11375/2069190947_zpid/,40.72463,-73.85075
332,37695,145,0.71,4,For Rent,Apartment For Rent,1981,,,85-28 118th St #3G,Kew Gardens,NY,11415,1,1,,Apartment,,,,2149,,1981,,,"LRGNY Group, Inc.",4.46,https://www.zillow.com/homedetails/85-28-118th-St-3G-Kew-Gardens-NY-11415/340036482_zpid/,40.70171,-73.833
333,73235,283,0.71,8,For Rent,Apartment For Rent,5000,,,6068 80th Ave #2RR,Ridgewood,NY,11385,3,1,,Apartment,,,,2999,,5000,,,BLT MINIMAX REALTY INC.,4.5,https://www.zillow.com/homedetails/6068-80th-Ave-2RR-Ridgewood-NY-11385/2072799134_zpid/,40.695236,-73.89308
334,59798,219,0.75,8,For Rent,House For Rent,3895,,,6447 Austin St,Flushing,NY,11374,3,1,1300,Single Family,,,979800,3353,913000,3895,,,18 REALTY,4.54,https://www.zillow.com/homedetails/6447-Austin-St-Flushing-NY-11374/31999262_zpid/,40.726894,-73.86112
335,,,,,For Rent,For Rent,,,,139-21 85th Dr   Apt 3J,Jamaica,NY,11435,,,,Unknown,,,,,,,,,,0,https://www.zillow.com/b/139-21-85th-dr-jamaica-ny-7Ljm/,,
336,39253,226,0.48,6,For Rent,Apartment For Rent,1800,,,2318 98th St,Flushing,NY,11369,2,1,,Apartment,,,,2999,987000,1800,,,,4.58,https://www.zillow.com/homedetails/2318-98th-St-Flushing-NY-11369/31952487_zpid/,40.768,-73.87252
337,52900,221,0.66,8,For Rent,Townhouse For Rent,3200,,,94-17 83rd St,Ozone Park,NY,11416,3,1,,Townhouse,,,,,,3200,,,Keller Williams Landmark II,4.58,https://www.zillow.com/homedetails/94-17-83rd-St-Ozone-Park-NY-11416/351974928_zpid/,40.68496,-73.85767
338,38965,228,0.47,6,For Rent,Townhouse For Rent,3600,,,23-16 97th St,East Elmhurst,NY,11369,2,2,,Townhouse,,,,2250,,3600,,,Keller Williams Landmark II,4.58,https://www.zillow.com/homedetails/23-16-97th-St-East-Elmhurst-NY-11369/2069936163_zpid/,40.767876,-73.873566
339,35983,213,0.46,6,For Rent,Apartment For Rent,3200,,,177-16 Wexford Ter #802,Jamaica,NY,11432,2,1,,Apartment,,,,2550,,3200,,,"Wexford Terrace Tower, LLC",4.62,https://www.zillow.com/b/wex16-jamaica-ny-9hP2H4/,40.71287,-73.786415
340,35324,147,0.66,2,For Rent,Apartment For Rent,1650,,,85-15 Main St PENTHOUSE S,Jamaica,NY,11435,0,1,600,Apartment,,,,,,1650,,,EXP Realty NYC,4.75,https://www.zillow.com/homedetails/85-15-Main-St-PENTHOUSE-S-Jamaica-NY-11435/351969971_zpid/,40.709602,-73.81895
